====================================================================================================
                             LISTAGEM DE PRODUTOS - CONTROLE DE ESTOQUE                             
                              Fonte: ESTOQUE DE PAPEIS-29-7-26(1).xlsx                              
                                    Gerado em: 31/07/2026 15:58                                     
====================================================================================================

----------------------------------------------------------------------------------------------------
CATEGORIA: FOSCO
----------------------------------------------------------------------------------------------------
DESCRIÇÃO                               GRAM.   FORNECEDOR     LARG(mm)  COMP(m)  SALDO(rolos)
BOPP FOSCO RITRAMA                      20G     RITRAMA             210     1000             1
BOPP FOSCO RITRAMA BXT                  20G     RITRAMA              80     1000             5
BOPP FOSCO RITRAMA BXT                  20G     RITRAMA              90     1000             0
BOPP FOSCO RITRAMA BXT                  20G     RITRAMA             110     1000             4
BOPP FOSCO RITRAMA BXT                  20G     RITRAMA             130     1000             1
BOPP FOSCO RITRAMA BXT                  20G     RITRAMA             140     1000             1
BOPP FOSCO RITRAMA BXT                  20G     RITRAMA             210     1000            13
BOPP METALIZADO                                 COLACRIL             76     1000             1
BOPP METALIZADO                                 COLACRIL             80     1000             2
BOPP METALIZADO                                 COLACRIL            333     1000             1
BOPP METALIZADO                                 COLACRIL            334     1000             1
BOPP METALIZADO COLACRIL BXT                    COLACRIL             55     1500             1
BOPP METALIZADO COLACRIL BXT                    COLACRIL             80      500             1
BOPP METALIZADO COLACRIL BXT                    COLACRIL             85     1500             2
BOPP METALIZADO COLACRIL BXT                    COLACRIL            100     1000             2
BOPP METALIZADO COLACRIL BXT                    COLACRIL            105     1000             2
BOPP METALIZADO COLACRIL BXT                    COLACRIL            110     1000             5
BOPP METALIZADO COLACRIL BXT                    COLACRIL            110     1500             5
BOPP METALIZADO COLACRIL BXT                    COLACRIL            120     1000             4
BOPP METALIZADO COLACRIL BXT                    COLACRIL            120     1500             1
BOPP METALIZADO COLACRIL BXT                    COLACRIL            125     1000             2
BOPP METALIZADO COLACRIL BXT                    COLACRIL            125     1500             1
BOPP METALIZADO COLACRIL BXT                    COLACRIL            150     1500             1
BOPP METALIZADO COLACRIL BXT                    COLACRIL            330     1500             1
BOPP TRANSPARENTE COLACRIL BXT                  COLACRIL             75     1000             1
BOPP TRANSPARENTE COLACRIL BXT                  COLACRIL             80     1000             0
BOPP TRANSPARENTE COLACRIL BXT                  COLACRIL             84     1000             2
BOPP TRANSPARENTE COLACRIL BXT                  COLACRIL             90     1000             1
BOPP TRANSPARENTE COLACRIL BXT                  COLACRIL            105     1000             2
BOPP TRANSPARENTE FASSON                20G     FASSON              128      800             1
BOPP TRANSPARENTE FASSON                20G     FASSON              240     1100             4
BOPP TRANSPARENTE RITRAMA                       RITRAMA             163      500             1
BOPP TRANSPARENTE RITRAMA BXT                   RITRAMA             100     1000             1
BOPP TRANSPARENTE RITRAMA BXT                   RITRAMA             105     1000             2
BOPP TRANSPARENTE RITRAMA BXT                   RITRAMA             110      500             0
BOPP TRANSPARENTE RITRAMA BXT                   RITRAMA             120     1000             1
BOPP TRANSPARENTE RITRAMA BXT                   RITRAMA             250     1000             0
BOPP TRANSPARENTE RITRAMA BXT                   RITRAMA             275     1000             1
BOPP TRANSPARENTE RITRAMA BXT                   RITRAMA             333     1000             2
BOPP TRANSPARENTE RITRAMA BXT                   RITRAMA             334     1000             1
                                                                          TOTAL:           283
Itens distintos: 164

----------------------------------------------------------------------------------------------------
CATEGORIA: TECIDOS
----------------------------------------------------------------------------------------------------
DESCRIÇÃO                                     LARG(mm)    SALDO(m)
-------------------------------------------   --------  ----------
Cetim (6030301)                                     10        3600
Cetim (6030301)                                     15        1200
Cetim (6030301) Beje                                15        2100
Cetim (6030301)                                     20         600
Cetim (6030301) Perolizado                          20         750
Cetim (6030301)                                     25        3400
